title,domestic_gross,foreign_gross,year,production_budget,worldwide_gross,profit_loss
Toy Story 3,415000000.0,652000000.0,2010,17000000.0,1067000000.0,1050000000.0
Alice in Wonderland (2010),334200000.0,691300000.0,2010,17000000.0,1025500000.0,1008500000.0
Harry Potter and the Deathly Hallows Part 1,296000000.0,664300000.0,2010,17000000.0,960300000.0,943300000.0
Inception,292600000.0,535700000.0,2010,17000000.0,828300000.0,811300000.0
Shrek Forever After,238700000.0,513900000.0,2010,17000000.0,752600000.0,735600000.0
The Twilight Saga: Eclipse,300500000.0,398000000.0,2010,17000000.0,698500000.0,681500000.0
Iron Man 2,312400000.0,311500000.0,2010,17000000.0,623900000.0,606900000.0
Tangled,200800000.0,391000000.0,2010,17000000.0,591800000.0,574800000.0
Despicable Me,251500000.0,291600000.0,2010,17000000.0,543100000.0,526100000.0
How to Train Your Dragon,217600000.0,277300000.0,2010,17000000.0,494900000.0,477900000.0
Clash of the Titans (2010),163200000.0,330000000.0,2010,17000000.0,493200000.0,476200000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000.0,2010,17000000.0,415700000.0,398700000.0
The King's Speech,135500000.0,275400000.0,2010,17000000.0,410900000.0,393900000.0
Tron Legacy,172100000.0,228000000.0,2010,17000000.0,400100000.0,383100000.0
The Karate Kid,176600000.0,182500000.0,2010,17000000.0,359100000.0,342100000.0
Prince of Persia: The Sands of Time,90800000.0,245600000.0,2010,17000000.0,336400000.0,319400000.0
Black Swan,107000000.0,222400000.0,2010,17000000.0,329400000.0,312400000.0
Megamind,148400000.0,173500000.0,2010,17000000.0,321900000.0,304900000.0
Robin Hood,105300000.0,216400000.0,2010,17000000.0,321700000.0,304700000.0
The Last Airbender,131800000.0,187900000.0,2010,17000000.0,319700000.0,302700000.0
Little Fockers,148400000.0,162200000.0,2010,17000000.0,310600000.0,293600000.0
Resident Evil: Afterlife,60100000.0,240100000.0,2010,17000000.0,300200000.0,283200000.0
Shutter Island,128000000.0,166800000.0,2010,17000000.0,294800000.0,277800000.0
Salt,118300000.0,175200000.0,2010,17000000.0,293500000.0,276500000.0
Sex and the City 2,95300000.0,193000000.0,2010,17000000.0,288300000.0,271300000.0
The Tourist,67600000.0,210700000.0,2010,17000000.0,278300000.0,261300000.0
The Expendables,103100000.0,171400000.0,2010,17000000.0,274500000.0,257500000.0
Grown Ups,162000000.0,109400000.0,2010,17000000.0,271400000.0,254400000.0
Knight & Day,76400000.0,185500000.0,2010,17000000.0,261900000.0,244900000.0
True Grit,171200000.0,81000000.0,2010,17000000.0,252200000.0,235200000.0
Gulliver's Travels,42800000.0,194600000.0,2010,17000000.0,237400000.0,220400000.0
Percy Jackson & The Olympians: The Lightning Thief,88800000.0,137700000.0,2010,17000000.0,226500000.0,209500000.0
The Social Network,97000000.0,128000000.0,2010,17000000.0,225000000.0,208000000.0
Valentine's Day,110500000.0,106000000.0,2010,17000000.0,216500000.0,199500000.0
The Sorcerer's Apprentice,63200000.0,152100000.0,2010,17000000.0,215300000.0,198300000.0
Due Date,100500000.0,111200000.0,2010,17000000.0,211700000.0,194700000.0
Eat Pray Love,80600000.0,124000000.0,2010,17000000.0,204600000.0,187600000.0
Yogi Bear,100200000.0,101300000.0,2010,17000000.0,201500000.0,184500000.0
Red,90400000.0,108600000.0,2010,17000000.0,199000000.0,182000000.0
Paranormal Activity 2,84800000.0,92800000.0,2010,17000000.0,177600000.0,160600000.0
The A-Team,77200000.0,100000000.0,2010,17000000.0,177200000.0,160200000.0
Jackass 3-D,117200000.0,54500000.0,2010,17000000.0,171700000.0,154700000.0
The Other Guys,119200000.0,51200000.0,2010,17000000.0,170400000.0,153400000.0
Unstoppable,81600000.0,86200000.0,2010,17000000.0,167800000.0,150800000.0
Step Up 3-D,42400000.0,116900000.0,2010,17000000.0,159300000.0,142300000.0
The Book of Eli,94800000.0,62300000.0,2010,17000000.0,157100000.0,140100000.0
The Town,92200000.0,61800000.0,2010,17000000.0,154000000.0,137000000.0
Date Night,98700000.0,53600000.0,2010,17000000.0,152300000.0,135300000.0
Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000.0,2010,17000000.0,140100000.0,123100000.0
The Wolfman,62000000.0,77800000.0,2010,17000000.0,139800000.0,122800000.0
The Bounty Hunter,67099999.0,69300000.0,2010,17000000.0,136399999.0,119399999.0
Saw 3D,45700000.0,90400000.0,2010,17000000.0,136100000.0,119100000.0
Wall Street: Money Never Sleeps,52500000.0,82300000.0,2010,17000000.0,134800000.0,117800000.0
The Fighter,93600000.0,35600000.0,2010,17000000.0,129200000.0,112200000.0
Predators,52000000.0,75200000.0,2010,17000000.0,127200000.0,110200000.0
A Nightmare on Elm Street (2010),63100000.0,52600000.0,2010,17000000.0,115700000.0,98700000.0
Dear John,80000000.0,35000000.0,2010,17000000.0,115000000.0,98000000.0
Cats & Dogs: The Revenge of Kitty Galore,43600000.0,68900000.0,2010,17000000.0,112500000.0,95500000.0
Tooth Fairy,60000000.0,52400000.0,2010,17000000.0,112400000.0,95400000.0
Life as We Know It,53400000.0,52300000.0,2010,17000000.0,105700000.0,88700000.0
Hereafter,32700000.0,72500000.0,2010,17000000.0,105200000.0,88200000.0
The Girl with the Dragon Tattoo,10100000.0,94300000.0,2010,17000000.0,104400000.0,87400000.0
Love and Other Drugs,32400000.0,70500000.0,2010,17000000.0,102900000.0,85900000.0
Aftershock (Tangshan Dadizhen),63000.0,100200000.0,2010,17000000.0,100263000.0,83263000.0
Killers,47100000.0,51100000.0,2010,17000000.0,98200000.0,81200000.0
Kick-Ass,48100000.0,48100000.0,2010,17000000.0,96200000.0,79200000.0
Green Zone,35100000.0,59800000.0,2010,17000000.0,94900000.0,77900000.0
Nanny McPhee Returns,29000000.0,64200000.0,2010,17000000.0,93200000.0,76200000.0
Get Him to the Greek,61000000.0,30300000.0,2010,17000000.0,91300000.0,74300000.0
Burlesque,39400000.0,50100000.0,2010,17000000.0,89500000.0,72500000.0
The Last Song,63000000.0,26100000.0,2010,17000000.0,89100000.0,72100000.0
Dinner for Schmucks,73000000.0,13800000.0,2010,17000000.0,86800000.0,69800000.0
Marmaduke,33600000.0,50100000.0,2010,17000000.0,83700000.0,66700000.0
Piranha 3D,25000000.0,58200000.0,2010,17000000.0,83200000.0,66200000.0
Oceans,19400000.0,63200000.0,2010,17000000.0,82600000.0,65600000.0
Edge of Darkness,43300000.0,37800000.0,2010,17000000.0,81100000.0,64100000.0
Vampires Suck,36700000.0,43900000.0,2010,17000000.0,80600000.0,63600000.0
Letters to Juliet,53000000.0,26100000.0,2010,17000000.0,79100000.0,62100000.0
The Back-Up Plan,37500000.0,40000000.0,2010,17000000.0,77500000.0,60500000.0
If You Are the One 2 (Fei Cheng Wu Rao II),427000.0,75600000.0,2010,17000000.0,76027000.0,59027000.0
Diary of a Wimpy Kid,64000000.0,11700000.0,2010,17000000.0,75700000.0,58700000.0
Easy A,58400000.0,16600000.0,2010,17000000.0,75000000.0,58000000.0
Hubble 3D,52400000.0,21500000.0,2010,17000000.0,73900000.0,56900000.0
Takers,57700000.0,11300000.0,2010,17000000.0,69000000.0,52000000.0
Tales from Earthsea,48500.0,68600000.0,2010,17000000.0,68648500.0,51648500.0
Legion (2010),40200000.0,27800000.0,2010,17000000.0,68000000.0,51000000.0
The American,35600000.0,32299999.0,2010,17000000.0,67899999.0,50899999.0
The Last Exorcism,41000000.0,26700000.0,2010,17000000.0,67700000.0,50700000.0
The Next Three Days,21100000.0,46300000.0,2010,17000000.0,67400000.0,50400000.0
The Girl Who Played with Fire,7600000.0,59500000.0,2010,17000000.0,67100000.0,50100000.0
Skyline,21400000.0,45400000.0,2010,17000000.0,66800000.0,49800000.0
Hot Tub Time Machine,50300000.0,14300000.0,2010,17000000.0,64600000.0,47600000.0
Devil,33600000.0,29100000.0,2010,17000000.0,62700000.0,45700000.0
127 Hours,18300000.0,42400000.0,2010,17000000.0,60700000.0,43700000.0
Tyler Perry's Why Did I Get Married Too?,60100000.0,578000.0,2010,17000000.0,60678000.0,43678000.0
Secretariat,59700000.0,537000.0,2010,17000000.0,60237000.0,43237000.0
The Ghost Writer,15500000.0,44700000.0,2010,17000000.0,60200000.0,43200000.0
Morning Glory,31000000.0,29000000.0,2010,17000000.0,60000000.0,43000000.0
Remember Me,19100000.0,37000000.0,2010,17000000.0,56100000.0,39100000.0
Cop Out,44900000.0,10700000.0,2010,17000000.0,55600000.0,38600000.0
The Crazies,39100000.0,15700000.0,2010,17000000.0,54800000.0,37800000.0
From Paris with Love,24100000.0,28700000.0,2010,17000000.0,52800000.0,35800000.0
Daybreakers,30100000.0,21300000.0,2010,17000000.0,51400000.0,34400000.0
Alpha and Omega,25100000.0,25400000.0,2010,17000000.0,50500000.0,33500000.0
The Switch,27800000.0,22100000.0,2010,17000000.0,49900000.0,32900000.0
She's Out of My League,32000000.0,17800000.0,2010,17000000.0,49800000.0,32800000.0
Death at a Funeral (2010),42700000.0,6300000.0,2010,17000000.0,49000000.0,32000000.0
How Do You Know,30200000.0,18500000.0,2010,17000000.0,48700000.0,31700000.0
Charlie St. Cloud,31200000.0,17000000.0,2010,17000000.0,48200000.0,31200000.0
Scott Pilgrim vs. the World,31500000.0,16100000.0,2010,17000000.0,47600000.0,30600000.0
Heartbreaker,504000.0,46900000.0,2010,17000000.0,47404000.0,30404000.0
The Spy Next Door,24300000.0,20900000.0,2010,17000000.0,45200000.0,28200000.0
"The Good, the Bad, the Weird",128000.0,44100000.0,2010,17000000.0,44228000.0,27228000.0
Machete,26600000.0,17500000.0,2010,17000000.0,44100000.0,27100000.0
The Girl Who Kicked the Hornet's Nest,5200000.0,38300000.0,2010,17000000.0,43500000.0,26500000.0
The Man From Nowhere,528000.0,42500000.0,2010,17000000.0,43028000.0,26028000.0
When in Rome,32700000.0,10400000.0,2010,17000000.0,43100000.0,26100000.0
My Name is Khan,4000000.0,38300000.0,2010,17000000.0,42300000.0,25300000.0
Going the Distance,17800000.0,24200000.0,2010,17000000.0,42000000.0,25000000.0
The Concert,658000.0,40500000.0,2010,17000000.0,41158000.0,24158000.0
Agora,619000.0,38400000.0,2010,17000000.0,39019000.0,22019000.0
For Colored Girls,37700000.0,17300.0,2010,17000000.0,37717300.0,20717300.0
Brooklyn's Finest,27200000.0,9300000.0,2010,17000000.0,36500000.0,19500000.0
Furry Vengeance,17600000.0,18600000.0,2010,17000000.0,36200000.0,19200000.0
Faster,23200000.0,12400000.0,2010,17000000.0,35600000.0,18600000.0
The Kids Are All Right,20800000.0,13900000.0,2010,17000000.0,34700000.0,17700000.0
You Will Meet a Tall Dark Stranger,3200000.0,31000000.0,2010,17000000.0,34200000.0,17200000.0
The Secret in Their Eyes,6400000.0,27600000.0,2010,17000000.0,34000000.0,17000000.0
Avatar: Special Edition,10700000.0,22500000.0,2010,17000000.0,33200000.0,16200000.0
Leap Year,25900000.0,6700000.0,2010,17000000.0,32600000.0,15600000.0
You Again,25700000.0,6300000.0,2010,17000000.0,32000000.0,15000000.0
Mesrine: Killer Instinct,552000.0,30500000.0,2010,17000000.0,31052000.0,14052000.0
The Losers,23600000.0,5800000.0,2010,17000000.0,29400000.0,12400000.0
Case 39,13300000.0,14900000.0,2010,17000000.0,28200000.0,11200000.0
Ramona and Beezus,26200000.0,1100000.0,2010,17000000.0,27300000.0,10300000.0
Splice,17000000.0,9800000.0,2010,17000000.0,26800000.0,9800000.0
Fair Game (2010),9500000.0,14600000.0,2010,17000000.0,24100000.0,7100000.0
Let Me In,12100000.0,12000000.0,2010,17000000.0,24100000.0,7100000.0
Mao's Last Dancer,4800000.0,17500000.0,2010,17000000.0,22300000.0,5300000.0
Just Wright,21500000.0,29900.0,2010,17000000.0,21529900.0,4529900.0
Our Family Wedding,20300000.0,1200000.0,2010,17000000.0,21500000.0,4500000.0
My Soul to Take,14700000.0,6200000.0,2010,17000000.0,20900000.0,3900000.0
71 Into the Fire,177000.0,20800000.0,2010,17000000.0,20977000.0,3977000.0
"I Love You, Phillip Morris",2000000.0,18700000.0,2010,17000000.0,20700000.0,3700000.0
Country Strong,20200000.0,310000.0,2010,17000000.0,20510000.0,3510000.0
Another Year,3200000.0,16500000.0,2010,17000000.0,19700000.0,2700000.0
Youth in Revolt,15300000.0,4400000.0,2010,17000000.0,19700000.0,2700000.0
Buried,1000000.0,18100000.0,2010,17000000.0,19100000.0,2100000.0
[Rec] 2,27800.0,18500000.0,2010,17000000.0,18527800.0,1527800.0
Repo Men,13800000.0,4600000.0,2010,17000000.0,18400000.0,1400000.0
A Prophet (Un prophète),2100000.0,15800000.0,2010,17000000.0,17900000.0,900000.0
Soul Kitchen,277000.0,17600000.0,2010,17000000.0,17877000.0,877000.0
Mother (2010),552000.0,16600000.0,2010,17000000.0,17152000.0,152000.0
Micmacs,1300000.0,15100000.0,2010,17000000.0,16400000.0,-600000.0
The Nutcracker in 3D,195000.0,16000000.0,2010,17000000.0,16195000.0,-805000.0
Sea Rex 3D: Journey to a Prehistoric World,6100000.0,9900000.0,2010,17000000.0,16000000.0,-1000000.0
I Hate Luv Storys,848000.0,14900000.0,2010,17000000.0,15748000.0,-1252000.0
Extraordinary Measures,12100000.0,3100000.0,2010,17000000.0,15200000.0,-1800000.0
Somewhere,1800000.0,12200000.0,2010,17000000.0,14000000.0,-3000000.0
Winter's Bone,6500000.0,7300000.0,2010,17000000.0,13800000.0,-3200000.0
The Last Station,6600000.0,6900000.0,2010,17000000.0,13500000.0,-3500000.0
Raajneeti,1500000.0,11100000.0,2010,17000000.0,12600000.0,-4400000.0
Made in Dagenham,1100000.0,11300000.0,2010,17000000.0,12400000.0,-4600000.0
Blue Valentine,9700000.0,2600000.0,2010,17000000.0,12300000.0,-4700000.0
Tamara Drewe,560000.0,11400000.0,2010,17000000.0,11960000.0,-5040000.0
Chloe,3100000.0,8600000.0,2010,17000000.0,11700000.0,-5300000.0
Looking for Eric,55800.0,11500000.0,2010,17000000.0,11555800.0,-5444200.0
The Warrior's Way,5700000.0,5400000.0,2010,17000000.0,11100000.0,-5900000.0
I Am Love,5000000.0,5900000.0,2010,17000000.0,10900000.0,-6100000.0
Jonah Hex,10500000.0,356000.0,2010,17000000.0,10856000.0,-6144000.0
Harry Brown,1800000.0,8500000.0,2010,17000000.0,10300000.0,-6700000.0
Cyrus,7500000.0,2500000.0,2010,17000000.0,10000000.0,-7000000.0
Conviction,6800000.0,2900000.0,2010,17000000.0,9700000.0,-7300000.0
Get Low,9200000.0,518000.0,2010,17000000.0,9718000.0,-7282000.0
Babies,7300000.0,2200000.0,2010,17000000.0,9500000.0,-7500000.0
Stone,1800000.0,7700000.0,2010,17000000.0,9500000.0,-7500000.0
Peepli Live,758000.0,8700000.0,2010,17000000.0,9458000.0,-7542000.0
Never Let Me Go,2400000.0,7000000.0,2010,17000000.0,9400000.0,-7600000.0
Mid-August Lunch,675000.0,8700000.0,2010,17000000.0,9375000.0,-7625000.0
MacGruber,8500000.0,797000.0,2010,17000000.0,9297000.0,-7703000.0
City Island,6700000.0,1200000.0,2010,17000000.0,7900000.0,-9100000.0
Inside Job,4300000.0,3600000.0,2010,17000000.0,7900000.0,-9100000.0
The Joneses,1500000.0,5500000.0,2010,17000000.0,7000000.0,-10000000.0
Centurion,124000.0,6700000.0,2010,17000000.0,6824000.0,-10176000.0
Animal Kingdom,1000000.0,5700000.0,2010,17000000.0,6700000.0,-10300000.0
Nowhere Boy,1500000.0,5100000.0,2010,17000000.0,6600000.0,-10400000.0
It's Kind of a Funny Story,6400000.0,128000.0,2010,17000000.0,6528000.0,-10472000.0
"Waiting for ""Superman""",6400000.0,9300.0,2010,17000000.0,6409300.0,-10590700.0
Greenberg,4200000.0,1900000.0,2010,17000000.0,6100000.0,-10900000.0
Coco Chanel & Igor Stravinsky,1600000.0,4099999.0,2010,17000000.0,5699999.0,-11300001.0
Vincere,619000.0,5100000.0,2010,17000000.0,5719000.0,-11281000.0
The Illusionist (2010),2200000.0,3400000.0,2010,17000000.0,5600000.0,-11400000.0
Exit Through the Gift Shop,3300000.0,2000000.0,2010,17000000.0,5300000.0,-11700000.0
Mademoiselle Chambon,532000.0,4700000.0,2010,17000000.0,5232000.0,-11768000.0
Solitary Man,4400000.0,818000.0,2010,17000000.0,5218000.0,-11782000.0
Rabbit Hole,2200000.0,2900000.0,2010,17000000.0,5100000.0,-11900000.0
Vision,435000.0,4600000.0,2010,17000000.0,5035000.0,-11965000.0
Mother and Child,1100000.0,3900000.0,2010,17000000.0,5000000.0,-12000000.0
The Runaways,3600000.0,1100000.0,2010,17000000.0,4700000.0,-12300000.0
Four Lions,305000.0,4400000.0,2010,17000000.0,4705000.0,-12295000.0
Wild Grass,404000.0,4200000.0,2010,17000000.0,4604000.0,-12396000.0
Please Give,4000000.0,280000.0,2010,17000000.0,4280000.0,-12720000.0
Monsters,237000.0,4000000.0,2010,17000000.0,4237000.0,-12763000.0
Rare Exports: A Christmas Tale,236000.0,3800000.0,2010,17000000.0,4036000.0,-12964000.0
The Killer Inside Me,217000.0,3800000.0,2010,17000000.0,4017000.0,-12983000.0
The Perfect Game,1000000.0,2800000.0,2010,17000000.0,3800000.0,-13200000.0
To Save a Life,3800000.0,45800.0,2010,17000000.0,3845800.0,-13154200.0
Inspector Bellamy,108000.0,3600000.0,2010,17000000.0,3708000.0,-13292000.0
Catfish,3200000.0,242000.0,2010,17000000.0,3442000.0,-13558000.0
Wild Target,109000.0,3300000.0,2010,17000000.0,3409000.0,-13591000.0
Frozen (2010),246000.0,2900000.0,2010,17000000.0,3146000.0,-13854000.0
Dabangg,1300000.0,1700000.0,2010,17000000.0,3000000.0,-14000000.0
Kites,1600000.0,1300000.0,2010,17000000.0,2900000.0,-14100000.0
Letters to God,2800000.0,60300.0,2010,17000000.0,2860300.0,-14139700.0
Twelve,184000.0,2400000.0,2010,17000000.0,2584000.0,-14416000.0
Tees Maar Khan,1100000.0,1400000.0,2010,17000000.0,2500000.0,-14500000.0
Fish Tank,375000.0,2000000.0,2010,17000000.0,2375000.0,-14625000.0
Housefull,1200000.0,1200000.0,2010,17000000.0,2400000.0,-14600000.0
Golmaal 3,1100000.0,935000.0,2010,17000000.0,2035000.0,-14965000.0
After.Life,109000.0,1900000.0,2010,17000000.0,2009000.0,-14991000.0
Cairo Time,1600000.0,391000.0,2010,17000000.0,1991000.0,-15009000.0
Flipped,1800000.0,19400000.0,2010,17000000.0,21200000.0,4200000.0
Guzaarish,1000000.0,695000.0,2010,17000000.0,1695000.0,-15305000.0
Ondine,550000.0,1100000.0,2010,17000000.0,1650000.0,-15350000.0
Anjaana Anjaani,855000.0,761000.0,2010,17000000.0,1616000.0,-15384000.0
John Rabe,67500.0,1400000.0,2010,17000000.0,1467500.0,-15532500.0
Restrepo,1300000.0,105000.0,2010,17000000.0,1405000.0,-15595000.0
Raavan,709000.0,648000.0,2010,17000000.0,1357000.0,-15643000.0
The City of Your Final Destination,493000.0,859000.0,2010,17000000.0,1352000.0,-15648000.0
Ajami,622000.0,669000.0,2010,17000000.0,1291000.0,-15709000.0
Army of Crime,37000.0,1200000.0,2010,17000000.0,1237000.0,-15763000.0
Lebanon,368000.0,830000.0,2010,17000000.0,1198000.0,-15802000.0
Howl,617000.0,566000.0,2010,17000000.0,1183000.0,-15817000.0
Videocracy,23700.0,1200000.0,2010,17000000.0,1223700.0,-15776300.0
When You're Strange,246000.0,901000.0,2010,17000000.0,1147000.0,-15853000.0
The Salvation Poem (Poema de Salvacion),915000.0,183000.0,2010,17000000.0,1098000.0,-15902000.0
Casino Jack,1000000.0,40700.0,2010,17000000.0,1040700.0,-15959300.0
Leaving,176000.0,893000.0,2010,17000000.0,1069000.0,-15931000.0
Khatta Meetha,542000.0,499000.0,2010,17000000.0,1041000.0,-15959000.0
We Are Family,638000.0,393000.0,2010,17000000.0,1031000.0,-15969000.0
Leaves of Grass,70100.0,949000.0,2010,17000000.0,1019100.0,-15980900.0
North Face,711000.0,216000.0,2010,17000000.0,927000.0,-16073000.0
Creation,341000.0,555000.0,2010,17000000.0,896000.0,-16104000.0
No One Knows About Persian Cats,81800.0,798000.0,2010,17000000.0,879800.0,-16120200.0
Carlos,146000.0,726000.0,2010,17000000.0,872000.0,-16128000.0
Hideaway (Le Refuge),34500.0,837000.0,2010,17000000.0,871500.0,-16128500.0
The Disappearance of Alice Creed,167000.0,701000.0,2010,17000000.0,868000.0,-16132000.0
Break Ke Baad,428000.0,389000.0,2010,17000000.0,817000.0,-16183000.0
Veer (2010),527000.0,277000.0,2010,17000000.0,804000.0,-16196000.0
Life During Wartime,281000.0,487000.0,2010,17000000.0,768000.0,-16232000.0
Enter the Void,336000.0,418000.0,2010,17000000.0,754000.0,-16246000.0
The Secret of Kells,677000.0,62700.0,2010,17000000.0,739700.0,-16260300.0
The Polar Express (IMAX re-issue 2010),673000.0,19400000.0,2010,17000000.0,20073000.0,3073000.0
No Problem,285000.0,369000.0,2010,17000000.0,654000.0,-16346000.0
All Good Things,582000.0,62500.0,2010,17000000.0,644500.0,-16355500.0
Jack Goes Boating,542000.0,77600.0,2010,17000000.0,619600.0,-16380400.0
Holy Rollers,303000.0,305000.0,2010,17000000.0,608000.0,-16392000.0
